encounter_time,male,female
-1.0406368781148578,"sex: -1, alleles: -1.01","sex: 1, alleles: -0.74"
-1.0404536712040993,"sex: -1, alleles: -1.41","sex: 1, alleles: -0.45"
-1.0380437543184513,"sex: -1, alleles: -0.05","sex: 1, alleles: -0.65"
-1.0340347907422407,"sex: -1, alleles: -0.92","sex: 1, alleles: -0.14"
-1.0336051889000388,"sex: -1, alleles: 1.5","sex: 1, alleles: -0.05"
-1.0317474288431305,"sex: -1, alleles: -0.42","sex: 1, alleles: -0.86"
-1.03147574259613,"sex: -1, alleles: -1.2","sex: 1, alleles: -0.71"
-1.0302768808791445,"sex: -1, alleles: 0.08","sex: 1, alleles: -0.88"
-1.0289650428363397,"sex: -1, alleles: 1.5","sex: 1, alleles: -0.05"
-1.0286893373873987,"sex: -1, alleles: -0.12","sex: 1, alleles: -0.24"
-1.027100216793127,"sex: -1, alleles: -0.14","sex: 1, alleles: -0.8"
-1.0260714942625433,"sex: -1, alleles: -0.91","sex: 1, alleles: 0.44"
-1.0232313308063485,"sex: -1, alleles: -0.18","sex: 1, alleles: -0.07"
-1.022881943962846,"sex: -1, alleles: 0.43","sex: 1, alleles: -0.61"
-1.0218418366882212,"sex: -1, alleles: -0.43","sex: 1, alleles: -0.37"
-1.021621400130062,"sex: -1, alleles: 0.93","sex: 1, alleles: -0.37"
-1.0208641845725266,"sex: -1, alleles: -0.95","sex: 1, alleles: -0.22"
-1.0198336896764382,"sex: -1, alleles: -0.92","sex: 1, alleles: -0.89"
-1.0175739913847244,"sex: -1, alleles: -0.19","sex: 1, alleles: -1.66"
-1.0168545907499016,"sex: -1, alleles: -1.24","sex: 1, alleles: 0.98"
-1.0165909767725898,"sex: -1, alleles: -0.38","sex: 1, alleles: -0.37"
-1.0119538000037658,"sex: -1, alleles: 0.32","sex: 1, alleles: -0.37"
